Indexer,BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site,col1-score,col2-score,col3-score,col4-score,col5-score,col6-score,col7-score,col8-score,col9-score,col10-score
54,CLBAL0041,2:00 AM, ,Boston,2215,64.8,249.4,"$76,665.44",2012N-00126,UO41,0.0272827282728,0.0045261669024,0.277227722772,0.0221947194719,0.0262376237624,0.0367161716172,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
55,CV7AL0001,2:00 AM,ST,Dorchester,2115,230.3,2720.2,"$64,927.05",2013N-00138,UO18,0.0278327832783,0.0045261669024,0.0321782178218,0.0583168316832,0.00891089108911,0.0376237623762,0.0275813295615,0.0209900990099,0.0148514851485,0.0173267326733
56,CV7AL0002,2:00 AM,ST,Boston,2115,138.2,1481.6,"$31,076.56",2014N-00154,UO45,0.0278327832783,0.0045261669024,0.0321782178218,0.0221947194719,0.00891089108911,0.0379537953795,0.0275813295615,0.0233663366337,0.0148514851485,0.0173267326733
57,CV7AL0003,1:00 AM,AV,Boston,2115,455.4,3345.8,"$82,861.64",2011N-00051,UO1,0.0293729372937,0.004243281471,0.0618811881188,0.0221947194719,0.00891089108911,0.0379537953795,0.0275813295615,0.0186138613861,0.0148514851485,0.1100110011
58,CV7AL0004,1:00 AM,AV,Boston,2115,245.4,2054.3,"$98,860.29",2012N-00137,UO68,0.0293729372937,0.004243281471,0.0618811881188,0.0221947194719,0.00891089108911,0.0376237623762,0.0332390381895,0.0186138613861,0.0148514851485,0.0173267326733
59,CV7AL0005,2:00 AM,AV,Boston,2108,73.9,1574.5,"$86,493.81",2013N-00167,UO19,0.0293729372937,0.0045261669024,0.0618811881188,0.0221947194719,0.0158415841584,0.0367161716172,0.027345591702,0.0186138613861,0.0148514851485,0.0173267326733
60,CV7AL0006,2:00 AM,ST,Boston,2116,129.9,1214.1,"$90,279.92",2012N-00046,UO46,0.0293729372937,0.0045261669024,0.0321782178218,0.0221947194719,0.0118811881188,0.0379537953795,0.0275813295615,0.0233663366337,0.0148514851485,0.0173267326733
61,CV7AL0007,2:00 AM,ST,East Boston,2116,106.6,706.5,"$38,357.18",2013N-00055,UO88,0.0293729372937,0.0045261669024,0.0321782178218,0.0599909990999,0.0118811881188,0.0468646864686,0.022630834512,0.0209900990099,0.0148514851485,0.0173267326733
62,CV7AL0008,2:00 AM,Av,Boston,2110,66.9,2411.3,"$106,251.17",2014N-00072,UO23,0.0293729372937,0.0045261669024,0.0926449787836,0.0221947194719,0.0262376237624,0.0367161716172,0.0332390381895,0.0131413141314,0.0148514851485,0.0173267326733
63,CV7AL0009,1:00 AM,ST,Charlestown,2210,57.2,381.9,"$25,020.29",2012N-00003,UO81,0.0293729372937,0.004243281471,0.0321782178218,0.0651215121512,0.0435643564356,0.042904290429,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
64,CV7AL0010,12:30 AM,ST,Boston,2210,68,306.8,"$93,664.17",2013N-00029,UO91,0.0295929592959,0.0391089108911,0.0321782178218,0.0221947194719,0.0435643564356,0.126237623762,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
65,CV7AL0011,2:00 AM,St,Boston,2109,64.9,501.4,"$46,277.17",2014N-00043,UO42,0.0295929592959,0.0045261669024,0.0721357850071,0.0221947194719,0.0158415841584,0.0367161716172,0.0223479490806,0.0209900990099,0.0148514851485,0.0173267326733
