{   'action_dim': 6,
#Games: 913 #Frames: 913000  Train_Max: 8562.00  Test_Score: 8512.51  Avg: 8052.79  ENV:  HalfCheetah-v2  DDPG Reward: 8480.54  PG Loss: -780.2529

#Games: 924 #Frames: 924000  Train_Max: 8651.18  Test_Score: 8533.56  Avg: 8097.10  ENV:  HalfCheetah-v2  DDPG Reward: 8530.98  PG Loss: -783.0604

#Games: 935 #Frames: 935000  Train_Max: 8645.18  Test_Score: 8608.47  Avg: 8130.48  ENV:  HalfCheetah-v2  DDPG Reward: 8444.13  PG Loss: -785.9307

#Games: 946 #Frames: 946000  Train_Max: 8693.23  Test_Score: 8580.21  Avg: 8175.28  ENV:  HalfCheetah-v2  DDPG Reward: 8544.22  PG Loss: -788.9911

#Games: 957 #Frames: 957000  Train_Max: 8679.65  Test_Score: 8547.48  Avg: 8221.12  ENV:  HalfCheetah-v2  DDPG Reward: 8709.47  PG Loss: -792.2045

#Games: 968 #Frames: 968000  Train_Max: 8566.49  Test_Score: 8601.62  Avg: 8257.52  ENV:  HalfCheetah-v2  DDPG Reward: 8539.30  PG Loss: -795.0994

#Games: 979 #Frames: 979000  Train_Max: 8613.60  Test_Score: 8577.13  Avg: 8478.62  ENV:  HalfCheetah-v2  DDPG Reward: 8603.85  PG Loss: -797.9643

Sync from RL --> Nevo
#Games: 990 #Frames: 990000  Train_Max: 8496.99  Test_Score: 8512.63  Avg: 8519.04  ENV:  HalfCheetah-v2  DDPG Reward: 8649.17  PG Loss: -800.8986

#Games: 1001 #Frames: 1001000  Train_Max: 8657.59  Test_Score: 8573.88  Avg: 8553.38  ENV:  HalfCheetah-v2  DDPG Reward: 8312.64  PG Loss: -804.0146

Progress Saved
#Games: 1012 #Frames: 1012000  Train_Max: 8738.34  Test_Score: 8618.61  Avg: 8559.46  ENV:  HalfCheetah-v2  DDPG Reward: 8717.22  PG Loss: -808.8627

#Games: 1023 #Frames: 1023000  Train_Max: 8684.33  Test_Score: 8638.37  Avg: 8566.61  ENV:  HalfCheetah-v2  DDPG Reward: 8781.01  PG Loss: -813.2632

#Games: 1034 #Frames: 1034000  Train_Max: 8624.41  Test_Score: 8595.48  Avg: 8579.20  ENV:  HalfCheetah-v2  DDPG Reward: 8749.88  PG Loss: -818.0104

#Games: 1045 #Frames: 1045000  Train_Max: 8672.66  Test_Score: 8542.32  Avg: 8585.39  ENV:  HalfCheetah-v2  DDPG Reward: 8724.07  PG Loss: -822.2877

#Games: 1056 #Frames: 1056000  Train_Max: 8586.57  Test_Score: 8560.01  Avg: 8578.77  ENV:  HalfCheetah-v2  DDPG Reward: 8715.30  PG Loss: -826.3644

#Games: 1067 #Frames: 1067000  Train_Max: 8570.23  Test_Score: 8511.90  Avg: 8576.75  ENV:  HalfCheetah-v2  DDPG Reward: 8770.52  PG Loss: -830.3772

#Games: 1078 #Frames: 1078000  Train_Max: 8512.10  Test_Score: 8542.78  Avg: 8573.20  ENV:  HalfCheetah-v2  DDPG Reward: 8948.94  PG Loss: -834.4109

#Games: 1089 #Frames: 1089000  Train_Max: 8523.40  Test_Score: 8586.14  Avg: 8567.31  ENV:  HalfCheetah-v2  DDPG Reward: 8962.02  PG Loss: -838.2433

Sync from RL --> Nevo
#Games: 1100 #Frames: 1100000  Train_Max: 8581.82  Test_Score: 8519.03  Avg: 8568.21  ENV:  HalfCheetah-v2  DDPG Reward: 8917.42  PG Loss: -842.4487

#Games: 1111 #Frames: 1111000  Train_Max: 8869.78  Test_Score: 8896.65  Avg: 8568.85  ENV:  HalfCheetah-v2  DDPG Reward: 8945.93  PG Loss: -846.1269

#Games: 1122 #Frames: 1122000  Train_Max: 9104.03  Test_Score: 8946.43  Avg: 8601.13  ENV:  HalfCheetah-v2  DDPG Reward: 9018.22  PG Loss: -849.4427

#Games: 1133 #Frames: 1133000  Train_Max: 9058.26  Test_Score: 8927.22  Avg: 8633.91  ENV:  HalfCheetah-v2  DDPG Reward: 9195.17  PG Loss: -852.6025

#Games: 1144 #Frames: 1144000  Train_Max: 9002.88  Test_Score: 8957.72  Avg: 8662.80  ENV:  HalfCheetah-v2  DDPG Reward: 9182.26  PG Loss: -855.8854

#Games: 1155 #Frames: 1155000  Train_Max: 9057.51  Test_Score: 8810.67  Avg: 8699.02  ENV:  HalfCheetah-v2  DDPG Reward: 9123.12  PG Loss: -858.2363

#Games: 1166 #Frames: 1166000  Train_Max: 8914.53  Test_Score: 8771.55  Avg: 8725.86  ENV:  HalfCheetah-v2  DDPG Reward: 9113.73  PG Loss: -861.7629

#Games: 1177 #Frames: 1177000  Train_Max: 8940.34  Test_Score: 8796.97  Avg: 8747.01  ENV:  HalfCheetah-v2  DDPG Reward: 9147.18  PG Loss: -865.2303

#Games: 1188 #Frames: 1188000  Train_Max: 8908.41  Test_Score: 6878.17  Avg: 8775.52  ENV:  HalfCheetah-v2  DDPG Reward: 9150.26  PG Loss: -868.3096

#Games: 1199 #Frames: 1199000  Train_Max: 8880.14  Test_Score: 8817.55  Avg: 8609.06  ENV:  HalfCheetah-v2  DDPG Reward: 9241.54  PG Loss: -871.9702

Sync from RL --> Nevo
#Games: 1210 #Frames: 1210000  Train_Max: 8825.48  Test_Score: 8801.47  Avg: 8632.20  ENV:  HalfCheetah-v2  DDPG Reward: 9074.18  PG Loss: -875.2109

Progress Saved
#Games: 1221 #Frames: 1221000  Train_Max: 8963.40  Test_Score: 9037.19  Avg: 8660.44  ENV:  HalfCheetah-v2  DDPG Reward: 9178.94  PG Loss: -878.5850

#Games: 1232 #Frames: 1232000  Train_Max: 9069.55  Test_Score: 9047.12  Avg: 8674.50  ENV:  HalfCheetah-v2  DDPG Reward: 9161.14  PG Loss: -881.5868

#Games: 1243 #Frames: 1243000  Train_Max: 9238.83  Test_Score: 9154.31  Avg: 8684.56  ENV:  HalfCheetah-v2  DDPG Reward: 9259.45  PG Loss: -885.0035

#Games: 1254 #Frames: 1254000  Train_Max: 9265.92  Test_Score: 9175.42  Avg: 8707.27  ENV:  HalfCheetah-v2  DDPG Reward: 9237.76  PG Loss: -888.2857

#Games: 1265 #Frames: 1265000  Train_Max: 9221.97  Test_Score: 9205.18  Avg: 8729.04  ENV:  HalfCheetah-v2  DDPG Reward: 9331.33  PG Loss: -891.2378

#Games: 1276 #Frames: 1276000  Train_Max: 9209.17  Test_Score: 9110.66  Avg: 8768.49  ENV:  HalfCheetah-v2  DDPG Reward: 9369.29  PG Loss: -894.2857

